INFO:root: tact: 100 acc: 4 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 101 acc: 4 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 102 acc: 4 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 103 acc: 4 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 104 acc: 4 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 105 acc: 4 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 106 acc: 4 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 107 acc: 4 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 108 acc: 4 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 109 acc: 4 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 110 acc: 4 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 111 acc: 4 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 112 acc: 4 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 113 acc: 4 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 114 acc: 4 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 115 acc: 4 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 116 acc: 4 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 117 acc: 4 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 118 acc: 3 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 119 acc: 3 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 120 acc: 3 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 121 acc: 3 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 122 acc: 3 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
